,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
0,1. Sarfaraz Khan,6,9,1,982,275,122.75,1412,69.55,4,2,19,93
1,2. Rajat Patidar,6,9,1,658,142,82.25,1238,53.15,2,5,2,100
2,3. Chetan Bist,4,6,4,623,155,311.50,964,64.63,5,-,7,59
3,4. Yash Dubey,6,10,2,614,289,76.75,1274,48.19,2,1,5,70
4,5. Shubham Sharma,6,9,1,608,116,76.00,1316,46.20,4,1,5,69
5,6. S Gani,3,5,1,601,341,150.25,764,78.66,2,1,4,97
6,7. Taruwar Kohli,3,6,2,526,151,131.50,872,60.32,3,1,1,91
7,8. Yashasvi Jaiswal,3,6,-,498,181,83.00,959,51.93,3,1,4,61
8,9. Shrikant Mundhe,4,6,1,492,207,98.40,816,60.29,2,1,7,69
9,10. Shahbaz Ahmed,5,10,2,482,116,60.25,820,58.78,1,3,4,43
10,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
11,11. Yash Dhull,3,6,2,479,200,119.75,700,68.43,3,-,1,66
12,12. Chirag Jani,3,5,-,453,235,90.60,683,66.33,2,-,8,66
13,13. Kumar Kushagra,4,7,-,439,266,62.71,572,76.75,1,2,6,55
14,14. Manoj Tiwary,5,10,-,433,136,43.30,830,52.17,2,2,5,49
15,15. Het Patel,3,5,-,429,185,85.80,625,68.64,2,1,7,57
16,16. Rohan Kunnummal,3,4,1,417,129,139.00,465,89.68,3,1,8,53
17,17. Abhimanyu Easwaran,5,10,-,413,114,41.30,734,56.27,1,3,1,43
18,18. Krishnamurthy Siddharth,4,7,-,410,146,58.57,739,55.48,1,2,3,51
19,19. Anustup Majumdar,5,10,-,409,117,40.90,818,50.00,1,1,-,43
20,20. Armaan Jaffer,4,7,1,402,127,67.00,799,50.31,2,1,6,45
21,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
22,21. Baba Indrajith,3,4,-,396,127,99.00,516,76.74,3,1,4,53
23,22. Priyam Garg,5,9,-,395,156,43.89,714,55.32,1,2,7,53
24,23. Virat Singh,5,8,1,391,113,55.86,783,49.94,3,-,5,50
25,24. Dhruv Shorey,3,6,1,383,136,76.60,679,56.41,3,-,1,49
26,25. Suved Parkar,3,6,1,381,252,76.20,700,54.43,1,1,5,34
27,26. Mandeep Singh,4,6,2,376,159,94.00,740,50.81,1,2,2,38
28,27. Himanshu Mantri,4,7,1,375,165,62.50,827,45.34,1,1,6,37
29,28. Babul Kumar,3,5,1,372,229,93.00,646,57.59,1,1,2,52
30,29. Liyan Khan,3,5,1,359,179,89.75,474,75.74,1,2,-,45
31,30. Manish Pandey,4,7,3,356,156,89.00,427,83.37,2,-,15,27
32,Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
33,31. Prithvi Shaw,6,10,-,355,72,35.50,439,80.87,-,3,8,47
34,32. Rinku Singh,5,9,3,353,78,58.83,493,71.60,-,4,7,41
35,33. Ganesh Satish,3,4,-,345,275,86.25,633,54.50,1,-,5,42
36,34. Kranthi Kumar,3,4,-,342,287,85.50,486,70.37,1,-,5,41
37,35. Ponnan Rahul,3,4,-,334,147,83.50,679,49.19,2,-,1,44
38,36. Faiz Fazal,3,4,-,333,192,83.25,531,62.71,1,1,3,45
39,37. Himanshu Rana,3,6,1,328,149,65.60,541,60.63,2,-,-,40
