,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,England,Pakistan,Pakistan,5 wickets,Bristol,"Aug 28, 2006",T20I # 8
1,England,Pakistan,England,48 runs,The Oval,"Jun 7, 2009",T20I # 95
2,England,Pakistan,England,7 wickets,Dubai (DSC),"Feb 19, 2010",T20I # 144
3,England,Pakistan,Pakistan,4 wickets,Dubai (DSC),"Feb 20, 2010",T20I # 145
4,England,Pakistan,England,6 wickets,Bridgetown,"May 6, 2010",T20I # 163
5,England,Pakistan,England,5 wickets,Cardiff,"Sep 5, 2010",T20I # 186
6,England,Pakistan,England,6 wickets,Cardiff,"Sep 7, 2010",T20I # 187
7,England,Pakistan,Pakistan,8 runs,Dubai (DSC),"Feb 23, 2012",T20I # 226
8,England,Pakistan,England,38 runs,Dubai (DSC),"Feb 25, 2012",T20I # 228
9,England,Pakistan,England,5 runs,Abu Dhabi,"Feb 27, 2012",T20I # 229
10,England,Pakistan,England,14 runs,Dubai (DSC),"Nov 26, 2015",T20I # 468
11,England,Pakistan,England,3 runs,Dubai (DSC),"Nov 27, 2015",T20I # 469
12,England,Pakistan,tied,,Sharjah,"Nov 30, 2015",T20I # 473
13,England,Pakistan,Pakistan,9 wickets,Manchester,"Sep 7, 2016",T20I # 566
14,England,Pakistan,England,7 wickets,Cardiff,"May 5, 2019",T20I # 772
15,England,Pakistan,no result,,Manchester,"Aug 28, 2020",T20I # 1087
16,England,Pakistan,England,5 wickets,Manchester,"Aug 30, 2020",T20I # 1093
17,England,Pakistan,Pakistan,5 runs,Manchester,"Sep 1, 2020",T20I # 1094
18,England,Pakistan,Pakistan,31 runs,Nottingham,"Jul 16, 2021",T20I # 1191
19,England,Pakistan,England,45 runs,Leeds,"Jul 18, 2021",T20I # 1193
20,England,Pakistan,England,3 wickets,Manchester,"Jul 20, 2021",T20I # 1195
21,Pakistan,England,England,6 wickets,Karachi,"Sep 20, 2022",T20I # 1789
22,Pakistan,England,Pakistan,10 wickets,Karachi,"Sep 22, 2022",T20I # 1793
23,Pakistan,England,England,63 runs,Karachi,"Sep 23, 2022",T20I # 1795
24,Pakistan,England,Pakistan,3 runs,Karachi,"Sep 25, 2022",T20I # 1798
25,Pakistan,England,Pakistan,6 runs,Lahore,"Sep 28, 2022",T20I # 1801
26,Pakistan,England,England,8 wickets,Lahore,"Sep 30, 2022",T20I # 1802
27,Pakistan,England,England,67 runs,Lahore,"Oct 2, 2022",T20I # 1804
