,Player,Span,Mat,Won,Lost,Tied,NR,%
0,GM Turner (NZ),1975-1976,3,3,0,0,0,100.0
1,S Venkataraghavan (INDIA),1975-1979,3,0,3,0,0,0.0
2,BS Bedi (INDIA),1976-1976,1,0,1,0,0,0.0
3,MG Burgess (NZ),1979-1980,2,1,1,0,0,50.0
4,SM Gavaskar (INDIA),1980-1985,7,3,4,0,0,42.85
5,GP Howarth (NZ),1980-1985,7,5,2,0,0,71.42
6,GR Viswanath (INDIA),1981-1981,1,0,1,0,0,0.0
7,JV Coney (NZ),1986-1986,5,2,3,0,0,40.0
8,N Kapil Dev (INDIA),1986-1987,8,6,2,0,0,75.0
9,JJ Crowe (NZ),1986-1987,3,0,3,0,0,0.0
10,RJ Shastri (INDIA),1988-1988,2,2,0,0,0,100.0
11,JG Wright (NZ),1988-1990,7,1,6,0,0,14.28
12,DB Vengsarkar (INDIA),1988-1988,4,4,0,0,0,100.0
13,M Azharuddin (INDIA),1990-1999,25,11,11,0,3,50.0
14,MD Crowe (NZ),1990-1992,2,1,1,0,0,50.0
15,KR Rutherford (NZ),1994-1995,7,3,4,0,0,42.85
16,LK Germon (NZ),1995-1995,5,2,3,0,0,40.0
17,SP Fleming (NZ),1997-2005,28,15,10,0,3,60.0
18,SR Tendulkar (INDIA),1997-1999,6,4,2,0,0,66.66
19,DJ Nash (NZ),1999-1999,4,1,2,0,1,33.33
20,SC Ganguly (INDIA),2000-2005,16,6,10,0,0,37.5
21,CD McMillan (NZ),2001-2001,1,1,0,0,0,100.0
22,R Dravid (INDIA),2003-2003,2,0,1,0,1,0.0
23,CL Cairns (NZ),2003-2003,1,0,1,0,0,0.0
24,MS Dhoni (INDIA),2009-2016,18,8,8,1,1,50.0
25,DL Vettori (NZ),2009-2010,9,1,7,0,1,12.5
26,BB McCullum (NZ),2009-2014,6,4,1,1,0,75.0
27,LRPL Taylor (NZ),2010-2010,3,1,2,0,0,33.33
28,G Gambhir (INDIA),2010-2010,5,5,0,0,0,100.0
29,KS Williamson (NZ),2016-2020,15,6,9,0,0,40.0
30,V Kohli (INDIA),2017-2020,10,5,5,0,0,50.0
31,RG Sharma (INDIA),2019-2019,2,1,1,0,0,50.0
32,TWM Latham (NZ),2020-2020,2,2,0,0,0,100.0
